"id","p","ic","ty","cs","d","f","t","l","date","dl","r"
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-42-45",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-42-45",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-42-45",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-44-1532137487",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-44-1532137487",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-44-1532137487",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-46-1532137608",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-46-1532137608",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-46-1532137608",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-48-1532137730",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-48-1532137730",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-48-1532137730",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-50-1532137851",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-50-1532137851",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-50-1532137851",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-52-1532137972",NA,NA
"southeastasia_HD_ID_TTR292872781504064","106.605851-6.202756","8","4","0","closed","Jalan Dipatiunus / Jalan Pandawa","Jalan Prambanan Raya / Jalan Baja","90","08-52-1532137972",NA,NA
"southeastasia_HD_ID_TTR292909714432304","106.647538-6.22176","8","4","0","closed","Jalan Tol Jakarta - Tangerang / Jalan Rasuna Said","Jalan Jalur Sutera Boulevard","1040","08-52-1532137972",NA,NA
"southeastasia_HD_ID_TTR292863547814448","106.598453-6.206484","8","4","0","closed","Jalan Danau Singkarak / Jalan Kutai","Jalan Prabu Siliwangi","110","08-54-1532138094",NA,NA
